Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01703","Chick peas, dry","2016","2016","tonnes","3487","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01703","Chick peas, dry","2017","2017","tonnes","6676","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01703","Chick peas, dry","2018","2018","tonnes","15900","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01703","Chick peas, dry","2019","2019","tonnes","8773.76","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01703","Chick peas, dry","2020","2020","tonnes","6640.92","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01703","Chick peas, dry","2021","2021","tonnes","7238.64","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2001","2001","tonnes","3000","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2002","2002","tonnes","3300","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2003","2003","tonnes","3000","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2004","2004","tonnes","2900.31","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2005","2005","tonnes","3200","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2006","2006","tonnes","3000","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2007","2007","tonnes","3000","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2008","2008","tonnes","3000","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2009","2009","tonnes","3000","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2010","2010","tonnes","3000","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2011","2011","tonnes","3000","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2012","2012","tonnes","3000","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2013","2013","tonnes","3000","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2014","2014","tonnes","3000","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2015","2015","tonnes","2933.57","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2016","2016","tonnes","2935.12","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2017","2017","tonnes","2907.17","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2018","2018","tonnes","2904.99","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2019","2019","tonnes","2944.51","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2020","2020","tonnes","2935.83","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01691","Chicory roots","2021","2021","tonnes","2927.16","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2001","2001","tonnes","289.55","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2002","2002","tonnes","303.24","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2003","2003","tonnes","314.19","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2004","2004","tonnes","350","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2005","2005","tonnes","321.81","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2006","2006","tonnes","300","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2007","2007","tonnes","335.73","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2008","2008","tonnes","345.54","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2009","2009","tonnes","355.68","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2010","2010","tonnes","367.43","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2011","2011","tonnes","379.03","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2012","2012","tonnes","400","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2013","2013","tonnes","398.86","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2014","2014","tonnes","400","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2015","2015","tonnes","407.39","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2016","2016","tonnes","418.02","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2017","2017","tonnes","427.88","I","Imputed value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2018","2018","tonnes","417.76","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2019","2019","tonnes","421.22","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2020","2020","tonnes","422.29","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","2021","tonnes","420.42","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2001","2001","tonnes","43735","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2002","2002","tonnes","51723","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2003","2003","tonnes","58370","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2004","2004","tonnes","73530","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2005","2005","tonnes","85390","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2006","2006","tonnes","89570","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2007","2007","tonnes","105830","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2008","2008","tonnes","121790","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2009","2009","tonnes","139150","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2010","2010","tonnes","136660","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2011","2011","tonnes","131492.9","A","Official figure"
